Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Spring","GRAD","5124","Grad Library Research Skills","Brown","3.89","88.9","0","0","11.1","0","0","0","0","0","0","0","0","0","9","21612","  1"
"2023-24","Spring","MUS","2634","Individual Applied Horn","Berrios Rodriguez","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18331","  1"
"2023-24","Spring","MUS","2754","Individual Applied Recording","Dunston","2.99","0","16.7","33.3","16.7","0","16.7","16.7","0","0","0","0","0","0","6","18340","  1"
"2023-24","Spring","MUS","2644","Individual Applied Trumpet","Crafton","3.93","75","25","0","0","0","0","0","0","0","0","0","0","0","8","18332","  1"
"2023-24","Spring","BSE","4994","Undergraduate Research","Senger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","12160","  1"
"2023-24","Spring","NANO","4994","Undergraduate Research","Nguyen","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18462","  1"
"2023-24","Spring","LAHS","1014","Academic Recovery","Wallace","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","10","17012","  1"
"2023-24","Spring","ENT","2264","Bees and Beekeeping Laboratory","Wilson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","15339","  1"
"2023-24","Spring","ENT","2264","Bees and Beekeeping Laboratory","Wilson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","22062","  1"
"2023-24","Spring","MUS","3414","Choral Ensemble Music","Baldwin","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","18379","  1"
"2023-24","Spring","NEUR","5074","Current Topics in Neuroscience","Fu","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","18567","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Choi","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Howell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Katz","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Rice","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Russon","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Sanner","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","HD","5964","FW: Research Team","Smith","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16328","  1"
"2023-24","Spring","MUS","2524","Individual Applied Keyboard","Masters","3.5","77.8","0","0","11.1","0","0","0","0","0","0","0","11.1","0","9","18321","  1"
"2023-24","Spring","MUS","2534","Individual Applied Violin","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","18322","  1"
"2023-24","Spring","MUS","3314","Instrumental Ensemble Music","Crafton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","18358","  1"
"2023-24","Spring","CHEM","4074","Laboratory in Polymer Science","Figg","3.6","60","0","0","40","0","0","0","0","0","0","0","0","0","5","12946","  2"
"2023-24","Spring","ISE","2214","Manufacturing Processes Lab","Johnson","3.76","60","10","30","0","0","0","0","0","0","0","0","0","0","10","16728","  1"
"2023-24","Spring","MUS","2066","Music Composition","Nichols","3.14","60","20","0","0","0","0","0","0","0","0","0","20","0","5","18309","  2"
"2023-24","Spring","MUS","2274","Music Education Lab Ensemble","OLeary","3.7","70","0","10","10","10","0","0","0","0","0","0","0","0","10","18317","  1"
"2023-24","Spring","CHEM","3625","Physical Chemistry Laboratory","Orler","3.4","50","0","0","40","0","0","10","0","0","0","0","0","0","10","12933","  1"
"2023-24","Spring","CHEM","3625","Physical Chemistry Laboratory","Orler","3.6","70","0","0","20","0","0","10","0","0","0","0","0","0","10","12937","  1"
"2023-24","Spring","PHYS","2404","Physics Outreach","Simonetti","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19121","  2"
"2023-24","Spring","APSC","2104","Poultry Laboratory","Lyons","3.7","90","0","0","0","0","0","0","0","0","10","0","0","0","10","10753","  1"
"2023-24","Spring","APSC","2104","Poultry Laboratory","Persia","3.7","90","0","0","0","0","0","0","0","0","10","0","0","0","10","10753","  1"
"2023-24","Spring","AT","0984","SS: 2nd Year Pre Internship","Kohl","3.2","80","0","0","0","0","0","0","0","0","0","0","20","0","5","21739","  2"
"2023-24","Spring","TA","3014","Theatre Production Lab","Blackburn","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","20200","  1"
"2023-24","Spring","BIOL","6404","Topics In Vertebrate Biology","Uyeda","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","11829","  1"
"2023-24","Spring","BCHM","2994","Undergraduate Research","Kennelly","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11478","  2"
"2023-24","Spring","FST","4994","Undergraduate Research","Cheng","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","15943","  1"
"2023-24","Spring","FST","4994","Undergraduate Research","Cladis","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","15943","  1"
"2023-24","Spring","FST","4994","Undergraduate Research","O'Keefe","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","15943","  1"
"2023-24","Spring","FST","4994","Undergraduate Research","Ponder","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","15943","  1"
"2023-24","Spring","ENT","2264","Bees and Beekeeping Laboratory","Wilson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","15338","  1"
"2023-24","Spring","MUS","2234","Class Applied Strings","Wilkens-Reed","2.52","36.4","0","0","9.1","18.2","0","9.1","0","9.1","0","0","18.2","1","11","18314","  1"
"2023-24","Spring","HNFE","4974","Independent Study","Anderson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","16467","  1"
"2023-24","Spring","HNFE","4974","Independent Study","Dunn","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","16467","  1"
"2023-24","Spring","HNFE","4974","Independent Study","Girmes-Grieco","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","16467","  1"
"2023-24","Spring","HNFE","4974","Independent Study","Volpe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","16467","  1"
"2023-24","Spring","HNFE","4974","Independent Study","Williams","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","16467","  1"
"2023-24","Spring","HNFE","4974","Independent Study","Worrell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","16467","  1"
"2023-24","Spring","NSEG","5944","Nuclear Eng Graduate Seminar","Haghighat","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","18663","  1"
"2023-24","Spring","CHEM","3625","Physical Chemistry Laboratory","Orler","2.91","27.3","0","0","45.5","0","0","18.2","0","0","9.1","0","0","0","11","12940","  1"
"2023-24","Spring","BSE","5984","SS: Bio-Raman Chemometrics","Senger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","22187","  1"
"2023-24","Spring","GEOG","1984","SS: Survey of Geography","Burger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","21789","  1"
"2023-24","Spring","GEOG","1984","SS: Survey of Geography","Resler","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","21789","  1"
"2023-24","Spring","MUS","2046","Sightsinging Laboratory","Elmer","3.51","63.6","0","9.1","0","9.1","18.2","0","0","0","0","0","0","0","11","21470","  1"
"2023-24","Spring","COMM","3954","Study Abroad","Woolly","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","13218","  1"
"2023-24","Spring","COMM","3954","Study Abroad","Stinson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","13218","  1"
"2023-24","Spring","ENGL","3954","Study Abroad","Scallorns","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","15264","  1"
"2023-24","Spring","ALCE","5814","Topics in Ag Leader & Commu Ed","Niewolny","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","10294","  1"
"2023-24","Spring","AOE","4994","Undergraduate Research","Sterne","3.75","90.9","0","0","0","0","0","0","0","9.1","0","0","0","0","11","10522","  1"
"2023-24","Spring","CHEM","4994","Undergraduate Research","Schulz","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","12987","  1"
"2023-24","Spring","HNFE","4994","Undergraduate Research","Davy","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16468","  1"
"2023-24","Spring","HNFE","4994","Undergraduate Research","Drake","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16468","  1"
"2023-24","Spring","HNFE","4994","Undergraduate Research","Good","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16468","  1"
"2023-24","Spring","HNFE","4994","Undergraduate Research","Harden","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16468","  1"
"2023-24","Spring","HNFE","4994","Undergraduate Research","Schmelz","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16468","  1"
"2023-24","Spring","HNFE","4994","Undergraduate Research","Volpe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16468","  1"
"2023-24","Spring","HORT","5784","Advanced Vegetable Seeds","Welbaum","3.62","50","16.7","16.7","0","16.7","0","0","0","0","0","0","0","0","6","20569","  2"
"2023-24","Spring","ENSC","4344","Eco Restor Field Practicum","Reid","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","21293","  2"
"2023-24","Spring","FREC","3224","Forest Biometrics Laboratory","Green","3.23","58.3","0","0","16.7","8.3","0","8.3","0","0","0","0","8.3","0","12","15807","  1"
"2023-24","Spring","CHEM","1045","General Chemistry Laboratory","Tohidi","3.09","41.7","16.7","8.3","8.3","8.3","0","0","0","0","0","8.3","8.3","0","12","12758","  1"
"2023-24","Spring","PHYS","2215","General Physics Laboratory","Merritt","3.87","66.7","25","8.3","0","0","0","0","0","0","0","0","0","0","12","18956","  1"
"2023-24","Spring","ALCE","6416","Intro to Grad Teach Scholar","Alward","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","10317","  2"
